# candidate<TAB>misread reading (toneless, compact)
# Project-maintained common misreadings of standard words, e.g. 暂时 is zanshi but often typed zhanshi.
# Each word is inserted fifth on the misread row (after its top four candidates) or gets a new row.
给予	geiyu
主角	zhujiao
角色	jiaose
配角	peijiao
说服	shuifu
游说	youshuo
模样	moyang
一模一样	yimoyiyang
装模作样	zhuangmozuoyang
模板	moban
馄饨	hundun
埋怨	maiyuan
木讷	muna
龟裂	guilie
槟榔	binlang
弄堂	nongtang
心宽体胖	xinkuantipang
虚与委蛇	xuyuweishe
刹那	shana
酗酒	xiongjiu
粗犷	cukuang
纤维	qianwei
包扎	baozha
慰藉	weiji
狼藉	langjie
蹊跷	xiqiao
咀嚼	jujiao
媲美	bimei
睥睨	bini
自诩	ziyu
呱呱坠地	guaguazhuidi
瞠目结舌	tangmujieshe
莘莘学子	xinxinxuezi
叱咤风云	chichafengyun
一蹴而就	yijiuerjiu
暴殄天物	baozhentianwu
按捺	annai
否极泰来	foujitailai
大腹便便	dafubianbian
着陆	zhaolu
着落	zhaoluo
着重	zhaozhong
着想	zhaoxiang
塑料	shuoliao
塑造	shuozao
流血	liuxie
解剖	jiepao
鞭笞	biantai
恣意	ciyi
桎梏	zhigao
酝酿	yunrang
暂时	zhanshi
暂且	zhanqie
谄媚	xianmei
赝品	yingpin
纨绔	wankua
殷红	yinhong
包庇	baopi
庇护	pihu
发酵	faxiao
潦草	laocao
蓦然	muran
纰漏	bilou
执拗	zhiao
刽子手	kuaizishou
嗔怪	zhenguai
痤疮	zuochuang
胴体	tongti
良莠不齐	liangxiubuqi
鳞次栉比	lincijiebi
针砭时弊	zhenfashibi
憧憬	tongjing
